縣市別代碼,統計期,基本分類,原始值[統計數值],年增率[%]
63000,93年 7月,勞務類,77.43,0.79
63000,93年 7月,工資類,71.28,0.79
63000,93年 7月,機具設備租金類,84.9,0.8
63000,93年 8月,總指數,65.76,14.11
63000,93年 8月,材料類,60.87,21.4
63000,93年 8月,水泥及其製品類,67.87,14.18
63000,93年 8月,砂石及級配類,77.37,14.03
63000,93年 8月,磚瓦瓷類,104.26,8.02
63000,93年 8月,金屬製品類,69.88,40.83
63000,93年 8月,木材及其製品類,68.96,20.24
63000,93年 8月,塑膠製品類,48.03,18.47
63000,93年 8月,油漆塗料類,70.02,0.89
63000,93年 8月,機電設備類,87.96,1.39
63000,93年 8月,瀝青及其製品類,44.51,7.32
63000,93年 8月,雜項材料類,73.2,2.24
63000,93年 8月,勞務類,77.68,1.25
63000,93年 8月,工資類,71.56,1.18
63000,93年 8月,機具設備租金類,85.08,1.31
63000,93年 9月,總指數,65.67,13.72
63000,93年 9月,材料類,60.7,20.7
63000,93年 9月,水泥及其製品類,67.87,14.18
63000,93年 9月,砂石及級配類,77.37,13.19
63000,93年 9月,磚瓦瓷類,104.26,7.73
63000,93年 9月,金屬製品類,68.98,38.03
63000,93年 9月,木材及其製品類,71.59,24.83
63000,93年 9月,塑膠製品類,52.31,29.03
63000,93年 9月,油漆塗料類,70.25,1.03
63000,93年 9月,機電設備類,87.96,1.39
63000,93年 9月,瀝青及其製品類,44.51,7.22
63000,93年 9月,雜項材料類,72.93,1.86
63000,93年 9月,勞務類,77.81,1.41
63000,93年 9月,工資類,71.52,1.12
63000,93年 9月,機具設備租金類,85.42,1.71
63000,93年 10月,總指數,66.13,14.24
63000,93年 10月,材料類,61.28,21.28
63000,93年 10月,水泥及其製品類,67.87,13.08
63000,93年 10月,砂石及級配類,77.37,12.27
63000,93年 10月,磚瓦瓷類,104.26,7.73
63000,93年 10月,金屬製品類,70.53,40.95
63000,93年 10月,木材及其製品類,73.23,27.66
63000,93年 10月,塑膠製品類,52.32,29.05
63000,93年 10月,油漆塗料類,70.25,1.03
63000,93年 10月,機電設備類,87.96,1.39
63000,93年 10月,瀝青及其製品類,44.51,7.02
63000,93年 10月,雜項材料類,73.36,2.44
63000,93年 10月,勞務類,77.92,1.72
63000,93年 10月,工資類,71.48,1.07
63000,93年 10月,機具設備租金類,85.72,2.41
63000,93年 11月,總指數,65.5,12.78
63000,93年 11月,材料類,60.42,18.78
63000,93年 11月,水泥及其製品類,67.87,13.04
63000,93年 11月,砂石及級配類,77.37,9.82
63000,93年 11月,磚瓦瓷類,105.84,8.37
63000,93年 11月,金屬製品類,67.94,33.61
63000,93年 11月,木材及其製品類,73.23,27.68
63000,93年 11月,塑膠製品類,52.32,29.05
63000,93年 11月,油漆塗料類,70.25,1.03
63000,93年 11月,機電設備類,87.96,1.39
63000,93年 11月,瀝青及其製品類,44.51,7.02
63000,93年 11月,雜項材料類,74.05,3.39
63000,93年 11月,勞務類,77.9,1.97
63000,93年 11月,工資類,71.43,1
63000,93年 11月,機具設備租金類,85.72,3.01
63000,93年 12月,總指數,65.24,10.53
63000,93年 12月,材料類,59.93,14.91
63000,93年 12月,水泥及其製品類,67.87,12.83
63000,93年 12月,砂石及級配類,77.37,9.82
63000,93年 12月,磚瓦瓷類,106.78,9.34
63000,93年 12月,金屬製品類,66.38,21.57
63000,93年 12月,木材及其製品類,73.23,27.55
