工程編號,工程名稱,公告徵收文號（序號）,行政區,段小段,地號,縣市,縣市代碼
901009,士林中山北路7段141巷14弄道路拓寬工程,9004965000,士林,天母段四小段,0338-0001,臺北市,63000
901009,士林中山北路7段141巷14弄道路拓寬工程,9004965000,士林,天母段四小段,0342-0001,臺北市,63000
901009,士林中山北路7段141巷14弄道路拓寬工程,9004965000,士林,天母段四小段,0343-0001,臺北市,63000
901009,士林中山北路7段141巷14弄道路拓寬工程,9004965000,士林,天母段四小段,0344-0001,臺北市,63000
901009,士林中山北路7段141巷14弄道路拓寬工程,9004965000,士林,天母段四小段,0345-0001,臺北市,63000
901009,士林中山北路7段141巷14弄道路拓寬工程,9004965000,士林,天母段四小段,0346-0000,臺北市,63000
901009,士林中山北路7段141巷14弄道路拓寬工程,9004965000,士林,天母段四小段,0352-0001,臺北市,63000
901009,士林中山北路7段141巷14弄道路拓寬工程,9004965000,士林,天母段四小段,0356-0001,臺北市,63000
901009,士林中山北路7段141巷14弄道路拓寬工程,9004965000,士林,天母段四小段,0357-0001,臺北市,63000
901009,士林中山北路7段141巷14弄道路拓寬工程,9004965000,士林,天母段四小段,0358-0001,臺北市,63000
901009,士林中山北路7段141巷14弄道路拓寬工程,9004965000,士林,天母段四小段,0360-0001,臺北市,63000
901010,士林菁山路中段道路拓寬工程,9004575400,士林,華岡段三小段,0024-0001,臺北市,63000
901010,士林菁山路中段道路拓寬工程,9004575400,士林,華岡段三小段,0025-0001,臺北市,63000
901010,士林菁山路中段道路拓寬工程,9004575400,士林,華岡段三小段,0026-0000,臺北市,63000
901010,士林菁山路中段道路拓寬工程,9004575400,士林,華岡段三小段,0026-0001,臺北市,63000
901010,士林菁山路中段道路拓寬工程,9004575400,士林,華岡段三小段,0027-0000,臺北市,63000
901010,士林菁山路中段道路拓寬工程,9004575400,士林,華岡段三小段,0027-0001,臺北市,63000
901010,士林菁山路中段道路拓寬工程,9004575400,士林,華岡段三小段,0042-0000,臺北市,63000
901010,士林菁山路中段道路拓寬工程,9004575400,士林,華岡段三小段,0043-0000,臺北市,63000
901010,士林菁山路中段道路拓寬工程,9004575400,士林,華岡段三小段,0047-0000,臺北市,63000
901010,士林菁山路中段道路拓寬工程,9004575400,士林,華岡段三小段,0048-0000,臺北市,63000
901011,士林延平北路5段136巷27弄道路新築工程,9004575500,士林,福順段二小段,0425-0000,臺北市,63000
901011,士林延平北路5段136巷27弄道路新築工程,9004575500,士林,福順段二小段,0426-0000,臺北市,63000
901012,北投公館路63巷道路第一期拓寬工程,9004964600,北投,溫泉段二小段,0224-0000,臺北市,63000
901012,北投公館路63巷道路第一期拓寬工程,9004964600,北投,溫泉段二小段,0245-0000,臺北市,63000
901012,北投公館路63巷道路第一期拓寬工程,9004964600,北投,溫泉段二小段,0246-0000,臺北市,63000
901012,北投公館路63巷道路第一期拓寬工程,9004964600,北投,溫泉段二小段,0250-0000,臺北市,63000
901012,北投公館路63巷道路第一期拓寬工程,9004964600,北投,溫泉段二小段,0252-0001,臺北市,63000
901012,北投公館路63巷道路第一期拓寬工程,9004964600,北投,溫泉段二小段,0255-0000,臺北市,63000
901012,北投公館路63巷道路第一期拓寬工程,9004964600,北投,溫泉段二小段,0256-0000,臺北市,63000
901012,北投公館路63巷道路第一期拓寬工程,9004964600,北投,溫泉段二小段,0259-0000,臺北市,63000
901012,北投公館路63巷道路第一期拓寬工程,9004964600,北投,溫泉段二小段,0260-0001,臺北市,63000
901012,北投公館路63巷道路第一期拓寬工程,9004964600,北投,溫泉段二小段,0264-0000,臺北市,63000
901013,大安基隆路(辛亥路至羅斯福路段)西北側拓寬工程,9004814900,大安,學府段四小段,0310-0001,臺北市,63000
901013,大安基隆路(辛亥路至羅斯福路段)西北側拓寬工程,9004814900,大安,學府段四小段,0350-0003,臺北市,63000
901013,大安基隆路(辛亥路至羅斯福路段)西北側拓寬工程,9004814900,大安,學府段四小段,0353-0004,臺北市,63000
901014,內湖內湖路2段301巷道路拓寬工程,9005582300,內湖,碧湖段二小段,0193-0005,臺北市,63000
901014,內湖內湖路2段301巷道路拓寬工程,9005582300,內湖,碧湖段二小段,0195-0001,臺北市,63000
901014,內湖內湖路2段301巷道路拓寬工程,9005582300,內湖,碧湖段二小段,0212-0001,臺北市,63000
901014,內湖內湖路2段301巷道路拓寬工程,9005582300,內湖,碧湖段二小段,0212-0002,臺北市,63000
901014,內湖內湖路2段301巷道路拓寬工程,9005582300,內湖,碧湖段二小段,0214-0001,臺北市,63000
901014,內湖內湖路2段301巷道路拓寬工程,9005582300,內湖,碧湖段二小段,0216-0001,臺北市,63000
901014,內湖內湖路2段301巷道路拓寬工程,9005582300,內湖,碧湖段二小段,0224-0001,臺北市,63000
901014,內湖內湖路2段301巷道路拓寬工程,9005582300,內湖,碧湖段二小段,0225-0001,臺北市,63000
901014,內湖內湖路2段301巷道路拓寬工程,9005582300,內湖,碧湖段二小段,0226-0001,臺北市,63000
901014,內湖內湖路2段301巷道路拓寬工程,9005582300,內湖,碧湖段二小段,0229-0001,臺北市,63000
901014,內湖內湖路2段301巷道路拓寬工程,9005582300,內湖,碧湖段二小段,0251-0002,臺北市,63000
901015,內湖成功路2段東北側六米道路新築工程,9004562900,內湖,石潭段三小段,0557-0001,臺北市,63000
901015,內湖成功路2段東北側六米道路新築工程,9004562900,內湖,石潭段三小段,0559-0001,臺北市,63000
901015,內湖成功路2段東北側六米道路新築工程,9004562900,內湖,石潭段三小段,0576-0000,臺北市,63000
901015,內湖成功路2段東北側六米道路新築工程,9004562900,內湖,石潭段三小段,0579-0000,臺北市,63000
901016,內湖新明路380巷道路拓寬工程,9004965100,內湖,潭美段四小段,0392-0001,臺北市,63000
901016,內湖新明路380巷道路拓寬工程,9004965100,內湖,潭美段四小段,0409-0001,臺北市,63000
901016,內湖新明路380巷道路拓寬工程,9004965100,內湖,潭美段四小段,0410-0001,臺北市,63000
901016,內湖新明路380巷道路拓寬工程,9004965100,內湖,潭美段四小段,0411-0001,臺北市,63000
901016,內湖新明路380巷道路拓寬工程,9004965100,內湖,潭美段四小段,0415-0007,臺北市,63000
901016,內湖新明路380巷道路拓寬工程,9004965100,內湖,潭美段四小段,0415-0008,臺北市,63000
901016,內湖新明路380巷道路拓寬工程,9004965100,內湖,潭美段四小段,0415-0009,臺北市,63000
901016,內湖新明路380巷道路拓寬工程,9004965100,內湖,潭美段四小段,0435-0001,臺北市,63000
901016,內湖新明路380巷道路拓寬工程,9004965100,內湖,潭美段四小段,0449-0001,臺北市,63000
901016,內湖新明路380巷道路拓寬工程,9004965100,內湖,潭美段四小段,0459-0001,臺北市,63000
901017,內湖康寧路3段245巷(安康路以北)道路拓寬工程,9004575300,內湖,東湖段七小段,0398-0001,臺北市,63000
901017,內湖康寧路3段245巷(安康路以北)道路拓寬工程,9004575300,內湖,東湖段七小段,0497-0001,臺北市,63000
901017,內湖康寧路3段245巷(安康路以北)道路拓寬工程,9004575300,內湖,東湖段七小段,0498-0001,臺北市,63000
901017,內湖康寧路3段245巷(安康路以北)道路拓寬工程,9004575300,內湖,東湖段七小段,0499-0001,臺北市,63000
901017,內湖康寧路3段245巷(安康路以北)道路拓寬工程,9004575300,內湖,東湖段七小段,0500-0001,臺北市,63000
901017,內湖康寧路3段245巷(安康路以北)道路拓寬工程,9004575300,內湖,東湖段七小段,0502-0001,臺北市,63000
901017,內湖康寧路3段245巷(安康路以北)道路拓寬工程,9004575300,內湖,東湖段七小段,0522-0000,臺北市,63000
901017,內湖康寧路3段245巷(安康路以北)道路拓寬工程,9004575300,內湖,東湖段七小段,0535-0000,臺北市,63000
901017,內湖康寧路3段245巷(安康路以北)道路拓寬工程,9004575300,內湖,東湖段七小段,0536-0001,臺北市,63000
901017,內湖康寧路3段245巷(安康路以北)道路拓寬工程,9004575300,內湖,東湖段七小段,0537-0001,臺北市,63000
901017,內湖康寧路3段245巷(安康路以北)道路拓寬工程,9004575300,內湖,東湖段七小段,0538-0000,臺北市,63000
901017,內湖康寧路3段245巷(安康路以北)道路拓寬工程,9004575300,內湖,東湖段七小段,0540-0000,臺北市,63000
901017,內湖康寧路3段245巷(安康路以北)道路拓寬工程,9004575300,內湖,東湖段七小段,0542-0000,臺北市,63000
901017,內湖康寧路3段245巷(安康路以北)道路拓寬工程,9004575300,內湖,東湖段七小段,0549-0000,臺北市,63000
901017,內湖康寧路3段245巷(安康路以北)道路拓寬工程,9004575300,內湖,東湖段七小段,0550-0005,臺北市,63000
901018,內湖成功路4段167巷中段道路拓寬工程,9005523400,內湖,康寧段三小段,0160-0001,臺北市,63000
901018,內湖成功路4段167巷中段道路拓寬工程,9005523400,內湖,康寧段三小段,0166-0002,臺北市,63000
901018,內湖成功路4段167巷中段道路拓寬工程,9005523400,內湖,康寧段三小段,0361-0006,臺北市,63000
901019,內湖64號公園西側道路新築工程,9005651300,內湖,康寧段三小段,0302-0001,臺北市,63000
901019,內湖64號公園西側道路新築工程,9005651300,內湖,康寧段三小段,0304-0008,臺北市,63000
901019,內湖64號公園西側道路新築工程,9005651300,內湖,康寧段三小段,0305-0000,臺北市,63000
