行政區,段小段,地號,標示部面積,所有權登記次序,所有權持分類別,所有權持分分母,所有權持分分子,公告地價（新臺幣元每平方公尺）,申報地價（新臺幣元每平方公尺）,核定申報地價情形
文山區,萬慶段二小段,07700000,174.0,0001,A,1,1,123000,104550,申報地價超過公告地價80%未滿100%者
文山區,萬慶段二小段,07210000,148.77,0001,A,1,1,64900,55165,申報地價超過公告地價80%未滿100%者
文山區,萬慶段二小段,02950000,757.0,0001,A,1,1,64900,55165,申報地價超過公告地價80%未滿100%者
文山區,萬慶段一小段,04580000,94.0,0001,A,1,1,64900,55165,申報地價超過公告地價80%未滿100%者
文山區,萬慶段一小段,04560000,216.0,0001,A,1,1,64900,55165,申報地價超過公告地價80%未滿100%者
文山區,萬慶段一小段,04550000,85.0,0001,A,1,1,64900,55165,申報地價超過公告地價80%未滿100%者
文山區,萬慶段一小段,04620000,81.0,0001,A,1,1,64900,55165,申報地價超過公告地價80%未滿100%者
文山區,萬慶段一小段,04600000,94.0,0001,A,1,1,64900,55165,申報地價超過公告地價80%未滿100%者
文山區,萬慶段一小段,04510000,84.0,0001,A,1,1,64900,55165,申報地價超過公告地價80%未滿100%者
文山區,景美段三小段,01030000,10.0,0001,A,1,1,139000,118150,申報地價超過公告地價80%未滿100%者
文山區,萬慶段二小段,07730000,70.0,0001,A,1,1,123000,104550,申報地價超過公告地價80%未滿100%者
文山區,萬慶段二小段,03010000,331.0,0001,A,1,1,64900,55165,申報地價超過公告地價80%未滿100%者
文山區,萬慶段二小段,02970000,684.0,0001,A,1,1,64900,55165,申報地價超過公告地價80%未滿100%者
文山區,興泰段三小段,05610000,979.0,0009,A,1,1,3900,4680,按公告地價120%申報者
文山區,興泰段三小段,05640001,1430.0,0009,A,1,1,980,1176,按公告地價120%申報者
文山區,興泰段三小段,05630002,2151.0,0009,A,1,1,3925,4710,按公告地價120%申報者
文山區,興泰段三小段,05620000,218.0,0009,A,1,1,3900,4680,按公告地價120%申報者
文山區,興泰段三小段,05630001,246.0,0009,A,1,1,3900,4680,按公告地價120%申報者
文山區,興泰段三小段,05640000,12414.0,0010,A,1,1,980,1176,按公告地價120%申報者
文山區,興隆段三小段,01700000,92.0,0013,,9,1,66446,79735,按公告地價120%申報者
文山區,興隆段三小段,01710000,69.0,0045,,54,1,54778,65733,按公告地價120%申報者
文山區,博嘉段三小段,07100016,2.0,0007,,10000,6993,29400,35280,按公告地價120%申報者
文山區,景美段一小段,04620001,79.0,0021,,100,1,72800,87360,按公告地價120%申報者
文山區,景美段一小段,04870000,68.0,0093,,400,12,72800,87360,按公告地價120%申報者
文山區,興安段三小段,00070001,176.0,0137,,350,4,23779,28534,按公告地價120%申報者
文山區,萬慶段二小段,07050001,1.0,0020,,1612800,20,73900,88680,按公告地價120%申報者
文山區,興安段三小段,00080002,10.0,0137,,350,4,23779,28534,按公告地價120%申報者
文山區,興安段三小段,00080000,16006.0,0130,,350,4,980,1176,按公告地價120%申報者
文山區,萬隆段一小段,02550004,329.0,0037,,130000,19996,68900,82680,按公告地價120%申報者
文山區,萬慶段二小段,07050000,40.0,0020,,1612800,20,73900,88680,按公告地價120%申報者
文山區,萬慶段三小段,06030001,54.0,0119,,3600,1,64900,77880,按公告地價120%申報者
文山區,木柵段四小段,06870000,27.0,0021,,108,5,58600,70320,按公告地價120%申報者
文山區,興安段三小段,00150000,34.0,0137,,350,4,23779,28534,按公告地價120%申報者
文山區,興安段三小段,00130000,90.0,0137,,350,4,23779,28534,按公告地價120%申報者
文山區,興安段三小段,00070000,8.0,0132,,350,4,980,1176,按公告地價120%申報者
文山區,興隆段一小段,00600000,95.0,0012,,3,1,51300,61560,按公告地價120%申報者
文山區,萬慶段三小段,06030000,51.0,0119,,3600,1,64900,77880,按公告地價120%申報者
文山區,木柵段四小段,07050000,96.0,0021,,108,5,58600,70320,按公告地價120%申報者
文山區,木柵段四小段,06940000,118.0,0021,,108,5,83600,100320,按公告地價120%申報者
文山區,木柵段四小段,06900000,437.0,0044,,108,5,60602,72722,按公告地價120%申報者
文山區,木柵段一小段,08850008,7.0,0007,A,1,1,56500,67800,按公告地價120%申報者
文山區,博嘉段三小段,07100010,91.0,0007,,10000,6993,29400,35280,按公告地價120%申報者
文山區,木柵段四小段,06860000,178.0,0021,,108,5,58600,70320,按公告地價120%申報者
文山區,興安段三小段,00080003,5165.0,0130,,350,4,980,1176,按公告地價120%申報者
文山區,景美段一小段,04870002,105.0,0098,,400,12,72800,87360,按公告地價120%申報者
文山區,興安段三小段,00290001,2.0,0130,,350,4,6900,8280,按公告地價120%申報者
文山區,興安段三小段,00090001,399.0,0137,,350,4,6900,8280,按公告地價120%申報者
文山區,公訓段二小段,01930000,43.0,0043,,40,1,44200,53040,按公告地價120%申報者
文山區,公訓段二小段,01470000,3.0,0043,,40,1,44200,53040,按公告地價120%申報者
文山區,木柵段四小段,06230000,13.0,0050,,108,5,83600,100320,按公告地價120%申報者
文山區,興安段三小段,00290000,91.0,0137,,350,4,23779,28534,按公告地價120%申報者
文山區,興安段三小段,00170000,88.0,0138,,350,4,23779,28534,按公告地價120%申報者
文山區,博嘉段三小段,07100014,1.0,0007,,10000,6993,29400,35280,按公告地價120%申報者
文山區,興安段三小段,00160000,10.0,0137,,350,4,23779,28534,按公告地價120%申報者
文山區,興安段三小段,00120000,74.0,0137,,350,4,23779,28534,按公告地價120%申報者
文山區,興安段三小段,00110000,67.0,0138,,350,4,23779,28534,按公告地價120%申報者
文山區,興安段三小段,00090000,122.0,0140,,350,4,23779,28534,按公告地價120%申報者
文山區,興安段三小段,00060000,7.0,0136,,350,4,23779,28534,按公告地價120%申報者
文山區,博嘉段三小段,07100003,584.43,0009,,5844300,5489474,29400,35280,按公告地價120%申報者
文山區,萬慶段二小段,07040000,45.0,0020,,3360,1,73900,88680,按公告地價120%申報者
文山區,景美段二小段,01310001,4.0,0006,,2,1,56300,67560,按公告地價120%申報者
文山區,景美段二小段,01330001,16.0,0008,,2,1,56300,67560,按公告地價120%申報者
文山區,興隆段三小段,01700000,92.0,0011,,9,1,66446,79735,按公告地價120%申報者
文山區,興隆段三小段,01710000,69.0,0043,,54,1,54778,65733,按公告地價120%申報者
文山區,興隆段三小段,01700000,92.0,0012,,9,1,66446,79735,按公告地價120%申報者
文山區,興隆段三小段,01710000,69.0,0044,,54,1,54778,65733,按公告地價120%申報者
文山區,興泰段三小段,05630006,167.0,0010,A,1,1,2413,2895,按公告地價120%申報者
文山區,興泰段三小段,05630004,268.0,0010,A,1,1,2413,2895,按公告地價120%申報者
文山區,興泰段三小段,05630005,37.0,0010,A,1,1,2413,2895,按公告地價120%申報者
中山區,北安段四小段,01470001,21258.0,0027,,1800,126,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01470001,21258.0,0028,,12600,276,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01470001,21258.0,0024,,12600,552,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01470001,21258.0,0055,,1800,21,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01470001,21258.0,0056,,1800,21,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01470001,21258.0,0078,,18000,136,2100,2520,按公告地價120%申報者
中山區,北安段四小段,00180000,2371.0,0005,,5,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,00230000,549.0,0005,,5,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,00240000,339.0,0004,,5,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,00250000,35.0,0005,,5,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01360000,667.0,0005,,5,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01380000,6193.0,0004,,5,1,2100,2520,按公告地價120%申報者
