編號,工程編號,徵收案件名稱,核准徵收文號,公告徵收文號,原始保管金額
215,951031,臺北都會區大眾捷運系統松山線市立體育場站(交六、交七)工程,951103台內地字第0950175848號,951113府地四字第09505617100號,510446681
216,951033,中央研究院為興建院區研究設施工程,951110台內地字第0950178963號,951115府地四字第09505696700號,57971544
217,952001,中央研究院為興建院區研究設施工程(建築改良物),951110台內地字第0950178963號,951115府地四字第09505696700號,3588852
218,953002,中央研究院為興建院區研究設施工程(農作改良物),951110台內地字第0950178963號,951115府地四字第09505696700號,109805
219,961001,青潭堰原水導水涵渠及5號隧道工程補辦徵收,960319台內地字第0960044330號,960327府地四字第09601373600號,17421514
220,961002,下竹林配水池暨加壓站工程,960319台內地字第0960044329號,960327府地四字第09601367000號,1220022
221,961003,青潭堰原水路3號4號隧道及涵渠前段工程補辦徵收,960319台內地字第0960044331號,960328府地四字第09601373500號,45071
222,961008,松山興安街174巷道路新築工程,960626台內地字第0960102361號,960703府地四字第09604200700號,7649700
223,961011,士林公有市場西側道路拓寬工程,960820台內地字第0960132298號,960828府地四字第09604858000號,30790014
224,961019,內湖大湖山莊街底調洪沉砂池新建工程(96年補辦),960502台內地字第0960070490號,960516府地四字第09631114600號,1042608
225,961020,臺北都會區大眾捷運系統松山線(南京東路站)出入口工程,960607台內地字第0960091130號,960615府地四字第09603407900號,37578
226,961021,臺北都會區大眾捷運系統松山線(南京東路站)工程(地上權),960606台內地字第0960091495號,960615府地四字第09603408500號,1922779
227,961024,臺北都會區大眾捷運系統新莊線(行天宮站)工程(地上權),960803台內地字第0960122588號,960813府地四字第09604678200號,37526373
228,961031,中央研究院興建院區研究設施工程,961008台內地字第0960155236號,961018府地四字第09606431200號,250583285
229,961036,文山區指南國小南側地滑地整治工程,961113台內地字第0960178561號,961114府地四字第09606855100號,1848777
230,963001,內湖大湖山莊街底調洪沉砂池新建工程(96年補辦)(農作改良物),960502台內地字第0960070490號,960516府地四字第09631114600號,18370
