年度,年期,繳納期間起日,繳納期間迄日,一般土地地價稅計算公式,自用住宅用地地價稅計算公式,工業用地地價稅計算公式,公共設施保留地地價稅計算公式
86,全年,19971116,19971215,"【(1月至6月地價×稅率－累進差額)÷2】+【(7月至12月地價×稅率－累進差額)÷2】=應納稅額
(1)【(22584000以下×10/1000)÷2】+【(24815000以下×10/1000)÷2】=應納稅額
(2)【(22584001~135504000×15/1000–112920)÷2】+【(24815001~148890000×15/1000－124075)÷2】=應納稅額
(3)【(135504001~248424000×25/1000–1467960)÷2】+【(148890001~272965000×25/1000－1612975)÷2】=應納稅額
(4)【(248424001~361344000×35/1000–3952200)÷2】+【(272965001~397040000×35/1000－4342625)÷2】=應納稅額
(5)【(361344001~474264000×45/1000–7565640)÷2】+【(397040001~521115000×45/1000－8313025)÷2】=應納稅額
(6)【(474264001以上×55/1000–12308280÷2)】+【(521115001以上×55/1000－13524175)÷2】=應納稅額",(1月至6月地價×2/1000)÷2+(7月至12月地價×2/1000)÷2=應納稅額,(1月至6月地價×10/1000)÷2+(7月至12月地價×10/1000)÷2=應納稅額,(1月至6月地價×6/1000)÷2+(7月至12月地價×6/1000)÷2=應納稅額
87,全年,19981116,19981215,"課稅地價×稅率–累進差額=應納稅額
(1)24815000以下×10/1000=應納稅額
(2)24815001~148890000×15/1000–124075=應納稅額
(3)148890001~272965000×25/1000–1612975=應納稅額
(4)272965001~397040000×35/1000–4342625=應納稅額
(5)397040001~521115000×45/1000–8313025=應納稅額
(6)521115001以上×55/1000–13524175=應納稅額",課稅地價×2/1000=應納稅額,課稅地價×10/1000=應納稅額,課稅地價×6/1000=應納稅額
88,全年,19991116,19991215,"課稅地價×稅率–累進差額=應納稅額
(1)24815000以下×10/1000=應納稅額
(2)24815001~148890000×15/1000–124075=應納稅額
(3)148890001~272965000×25/1000–1612975=應納稅額
(4)272965001~397040000×35/1000–4342625=應納稅額
(5)397040001~521115000×45/1000–8313025=應納稅額
(6)521115001以上×55/1000–13524175=應納稅額",課稅地價×2/1000=應納稅額,課稅地價×10/1000=應納稅額,課稅地價×6/1000=應納稅額
89,全年,20001116,20001215,"【(1月至6月地價×稅率－累進差額)÷2】+【(7至12月地價×稅率－累進差額)÷2】=應納稅額
(1)【(24815000以下×10/1000)÷2】+【(25366000以下×10/1000)÷2】=應納稅額
(2)【(24815001~148890000×15/1000–124075)÷2】+【(25366001~152196000×15/1000－126830)÷2】=應納稅額
(3)【(148890001~272965000×25/1000–1612975)÷2】+【(152196001~279026000×25/1000－1648790)÷2】=應納稅額
(4)【(272965001~397040000×35/1000–4342625)÷2】+【(279026001~405856000×35/1000－4439050)÷2】=應納稅額
(5)【(397040001~521115000×45/1000–8313025)÷2】+【(405856001~532686000×45/1000－8497610)÷2】=應納稅額
(6)【(521115001以上×55/1000–13524175)÷2】+【(532686001以上×55/1000－13824470)÷2】=應納稅額",(1月至6月地價×2/1000)÷2+(7月至12月地價×2/1000)÷2=應納稅額,(1月至6月地價×10/1000)÷2+(7月至12月地價×10/1000)÷2=應納稅額,(1月至6月地價×6/1000)÷2+(7月至12月地價×6/1000)÷2=應納稅額
90,全年,20011101,20011130,"課稅地價×稅率–累進差額=應納稅額
(1)25366000以下×10/1000=應納稅額
(2)25366001~152196000×15/1000–126830=應納稅額
(3)152196001~279026000×25/1000–1648790=應納稅額
(4)279026001~405856000×35/1000–4439050=應納稅額
(5)405856001~532686000×45/1000–8497610=應納稅額
(6)532686001以上×55/1000–13824470=應納稅額",課稅地價×2/1000=應納稅額,課稅地價×10/1000=應納稅額,課稅地價×6/1000=應納稅額
91,全年,20021101,20021130,"課稅地價×稅率–累進差額=應納稅額
(1)25366000以下×10/1000=應納稅額
(2)25366001~152196000×15/1000–126830=應納稅額
(3)152196001~279026000×25/1000–1648790=應納稅額
(4)279026001~405856000×35/1000–4439050=應納稅額
(5)405856001~532686000×45/1000–8497610=應納稅額
(6)532686001以上×55/1000–13824470=應納稅額",課稅地價×2/1000=應納稅額,課稅地價×10/1000=應納稅額,課稅地價×6/1000=應納稅額
92,全年,20031101,20031130,"課稅地價×稅率–累進差額=應納稅額
(1)25366000以下×10/1000=應納稅額
(2)25366001~152196000×15/1000–126830=應納稅額
(3)152196001~279026000×25/1000–1648790=應納稅額
(4)279026001~405856000×35/1000–4439050=應納稅額
(5)405856001~532686000×45/1000–8497610=應納稅額
(6)532686001以上×55/1000–13824470=應納稅額",課稅地價×2/1000=應納稅額,課稅地價×10/1000=應納稅額,課稅地價×6/1000=應納稅額
93,全年,20041101,20041130,"課稅地價×稅率–累進差額=應納稅額
(1)24583000以下×10/1000=應納稅額
(2)24583001~147498000×15/1000–122915=應納稅額
(3)147498001~270413000×25/1000–1597895=應納稅額
(4)270413001~393328000×35/1000–4302025=應納稅額
(5)393328001~516243000×45/1000–8235305=應納稅額
(6)516243001以上×55/1000–13397735=應納稅額",課稅地價×2/1000=應納稅額,課稅地價×10/1000=應納稅額,課稅地價×6/1000=應納稅額
94,全年,20051101,20051130,"課稅地價×稅率–累進差額=應納稅額
(1)24583000以下×10/1000=應納稅額
(2)24583001~147498000×15/1000–122915=應納稅額
(3)147498001~270413000×25/1000–1597895=應納稅額
(4)270413001~393328000×35/1000–4302025=應納稅額
(5)393328001~516243000×45/1000–8235305=應納稅額
(6)516243001以上×55/1000–13397735=應納稅額",課稅地價×2/1000=應納稅額,課稅地價×10/1000=應納稅額,課稅地價×6/1000=應納稅額
95,全年,20061101,20061130,"課稅地價×稅率–累進差額=應納稅額
(1)24583000以下×10/1000=應納稅額
(2)24583001~147498000×15/1000–122915=應納稅額
(3)147498001~270413000×25/1000–1597895=應納稅額
(4)270413001~393328000×35/1000–4302025=應納稅額
(5)393328001~516243000×45/1000–8235305=應納稅額
(6)516243001以上×55/1000–13397735=應納稅額",課稅地價×2/1000=應納稅額,課稅地價×10/1000=應納稅額,課稅地價×6/1000=應納稅額
