住宅價格月指數類別,期別,月指數,季移動平均數,半年移動平均數,月指數變動率,季移動平均數變動率,半年移動平均數變動率,標準住宅總價（新台幣萬元）,標準住宅單價（新台幣萬元每坪）
全市公寓,103/08,108.51,109.31,111.03,-1.03%,-1.83%,-0.43%,1405,46.82
全市公寓,103/09,108.52,108.89,110.58,0%,-0.38%,-0.40%,1405,46.82
全市公寓,103/10,109.53,108.85,110.10,0.94%,-0.03%,-0.44%,1418,47.26
全市公寓,103/11,109.42,109.16,109.23,-0.1%,0.28%,-0.79%,1416,47.21
全市公寓,103/12,109.54,109.50,109.19,0.11%,0.31%,-0.03%,1418,47.26
全市公寓,104/01,109.55,109.50,109.18,0.01%,0.01%,-0.01%,1418,47.27
全市公寓,104/02,111.39,110.16,109.66,1.68%,0.60%,0.44%,1442,48.06
全市公寓,104/03,108.54,109.83,109.66,-2.55%,-0.30%,-,1405,46.83
全市公寓,104/04,107.01,108.98,109.24,-1.41%,-0.77%,-0.38%,1385,46.17
全市公寓,104/05,110.07,108.54,109.35,2.85%,-0.41%,0.10%,1425,47.49
全市公寓,104/06,111.24,109.44,109.64,1.07%,0.83%,0.26%,1440,48.00
全市公寓,104/07,110.22,110.51,109.75,-0.91%,0.98%,0.10%,1427,47.56
全市公寓,104/08,112.63,111.37,109.95,2.18%,0.77%,0.19%,1458,48.60
全市公寓,104/09,110.14,111.00,110.22,-2.21%,-0.33%,0.24%,1426,47.52
全市公寓,104/10,107.79,110.19,110.35,-2.13%,-0.73%,0.12%,1395,46.51
全市公寓,104/11,108.83,108.92,110.14,0.96%,-1.15%,-0.19%,1409,46.96
全市公寓,104/12,109.65,108.76,109.88,0.75%,-0.15%,-0.24%,1419,47.31
全市公寓,105/01,107.58,108.69,109.44,-1.89%,-0.07%,-0.40%,1393,46.42
全市公寓,105/02,108.30,108.51,108.72,0.68%,-0.16%,-0.66%,1402,46.73
全市公寓,105/03,106.74,107.54,108.15,-1.45%,-0.89%,-0.52%,1382,46.05
全市公寓,105/04,105.66,106.90,107.79,-1.01%,-0.59%,-0.33%,1368,45.59
全市公寓,105/05,105.68,106.03,107.27,0.02%,-0.82%,-0.49%,1368,45.60
全市公寓,105/06,105.88,105.74,106.64,0.19%,-0.27%,-0.58%,1371,45.69
全市公寓,105/07,102.22,104.60,105.75,-3.46%,-1.08%,-0.84%,1323,44.11
