住宅價格月指數類別,期別,月指數,季移動平均數,半年移動平均數,月指數變動率,季移動平均數變動率,半年移動平均數變動率,標準住宅總價（新台幣萬元）,標準住宅單價（新台幣萬元每坪）
全市小宅,112/12,114.68,113.09,111.68,1.5%,1.15%,0.84%,991,70.77
全市小宅,113/01,115.65,114.44,112.63,0.85%,1.19%,0.85%,999,71.37
全市小宅,113/02,117.56,115.96,113.88,1.65%,1.33%,1.11%,1016,72.55
全市小宅,113/03,120.13,117.78,115.43,2.19%,1.57%,1.36%,1038,74.14
全市小宅,113/04,122.59,120.09,117.27,2.05%,1.96%,1.59%,1059,75.66
全市小宅,113/05,125.55,122.76,119.36,2.41%,2.22%,1.78%,1085,77.49
全市小宅,113/06,127.07,125.07,121.43,1.21%,1.88%,1.73%,1098,78.42
全市小宅,113/07,128.30,126.97,123.53,0.97%,1.52%,1.74%,1109,79.18
全市小宅,113/08,130.33,128.57,125.66,1.58%,1.25%,1.72%,1126,80.43
全市小宅,113/09,130.53,129.72,127.40,0.15%,0.90%,1.38%,1128,80.56
全市小宅,113/10,129.70,130.19,128.58,-0.64%,0.36%,0.93%,1121,80.04
全市小宅,113/11,129.38,129.87,129.22,-0.25%,-0.25%,0.50%,1118,79.85
全市小宅,113/12,130.35,129.81,129.77,0.75%,-0.05%,0.43%,1126,80.45
全市小宅,114/01,129.69,129.81,130.00,-0.51%,-,0.18%,1121,80.07
全市小宅,114/02,132.21,130.75,130.31,1.94%,0.72%,0.24%,1142,81.57
全市小宅,114/03,130.33,130.74,130.28,-1.42%,-0.01%,-0.02%,1126,80.43
全市小宅,114/04,129.93,130.82,130.32,-0.31%,0.06%,0.03%,1123,80.21
全市小宅,114/05,129.54,129.93,130.34,-0.3%,-0.68%,0.02%,1119,79.93
全市小宅,114/06,128.08,129.18,129.96,-1.13%,-0.58%,-0.29%,1107,79.07
全市小宅,114/07,128.18,128.60,129.71,0.08%,-0.45%,-0.19%,1108,79.14
全市小宅,114/08,127.59,127.95,128.94,-0.46%,-0.51%,-0.59%,1102,78.71
全市小宅,114/09,127.35,127.71,128.45,-0.19%,-0.19%,-0.38%,1100,78.57
全市小宅,114/10,127.39,127.44,128.02,0.03%,-0.21%,-0.33%,1101,78.64
全市小宅,114/11,126.35,127.03,127.49,-0.82%,-0.32%,-0.41%,1092,78.00
全市小宅,114/12,125.50,126.41,127.06,-0.67%,-0.49%,-0.34%,1084,77.43
全市小宅,115/01,125.65,125.83,126.64,0.12%,-0.46%,-0.33%,1086,77.57
全市小宅,115/02,126.53,125.89,126.46,0.7%,0.05%,-0.14%,1093,78.07

