縣市別代碼,年月別,商品性質別分類,原始值[統計數值],年增率[%]
63000,87年11月,服務類-外食費,70.83,--
63000,87年11月,服務類-衣著,70.52,--
63000,87年11月,服務類-居住,95.2,--
63000,87年11月,服務類-交通及通訊,85.87,--
63000,87年11月,服務類-醫藥保健,61.8,--
63000,87年11月,服務類-教養娛樂,63.82,--
63000,87年11月,服務類-教養,81.88,--
63000,87年11月,服務類-娛樂,48.89,--
63000,87年11月,服務類-雜項,82.2,--
63000,87年12月,總指數(含食物),79.97,--
63000,87年12月,商品類(含食物),78.66,--
63000,87年12月,商品類(不含食物),101.05,--
63000,87年12月,商品類-非耐久性消費品(含食物),63.24,--
63000,87年12月,商品類-非耐久性消費品(不含食物),78.99,--
63000,87年12月,商品類-半耐久性消費品,101.89,--
63000,87年12月,商品類-耐久性消費品,145.9,--
63000,87年12月,服務類,80.8,--
63000,87年12月,服務類(不含食物),83.07,--
63000,87年12月,服務類-外食費,70.74,--
63000,87年12月,服務類-衣著,73.34,--
63000,87年12月,服務類-居住,95.13,--
63000,87年12月,服務類-交通及通訊,86.09,--
63000,87年12月,服務類-醫藥保健,61.8,--
63000,87年12月,服務類-教養娛樂,64.55,--
63000,87年12月,服務類-教養,82.14,--
63000,87年12月,服務類-娛樂,49.93,--
63000,87年12月,服務類-雜項,82.2,--
63000,88年1月,總指數(含食物),79.36,-1.33
63000,88年1月,商品類(含食物),77.35,1.42
63000,88年1月,商品類(不含食物),98.15,-0.95
63000,88年1月,商品類-非耐久性消費品(含食物),63.36,2.77
63000,88年1月,商品類-非耐久性消費品(不含食物),79.17,-1.37
63000,88年1月,商品類-半耐久性消費品,93.07,0.36
63000,88年1月,商品類-耐久性消費品,145.96,-1.76
63000,88年1月,服務類,80.74,-3.32
63000,88年1月,服務類(不含食物),82.91,-4.23
63000,88年1月,服務類-外食費,71.21,2.28
63000,88年1月,服務類-衣著,73.34,7.62
63000,88年1月,服務類-居住,95.11,-1.37
63000,88年1月,服務類-交通及通訊,86.13,3.52
63000,88年1月,服務類-醫藥保健,61.8,-4.16
63000,88年1月,服務類-教養娛樂,64.03,-4.63
63000,88年1月,服務類-教養,82.15,3.1
63000,88年1月,服務類-娛樂,49.04,-12.82
63000,88年1月,服務類-雜項,82.2,-22.37
63000,88年2月,總指數(含食物),80.96,2.62
63000,88年2月,商品類(含食物),76.52,0.09
63000,88年2月,商品類(不含食物),96.03,-1.88
63000,88年2月,商品類-非耐久性消費品(含食物),63.55,1.32
63000,88年2月,商品類-非耐久性消費品(不含食物),79.09,-1.79
63000,88年2月,商品類-半耐久性消費品,86.82,-1.56
63000,88年2月,商品類-耐久性消費品,146.13,-2.29
63000,88年2月,服務類,84.25,4.52
63000,88年2月,服務類(不含食物),87.05,4.98
63000,88年2月,服務類-外食費,71.63,1.78
63000,88年2月,服務類-衣著,73.34,7.62
63000,88年2月,服務類-居住,96.56,1.12
63000,88年2月,服務類-交通及通訊,86.22,4.09
63000,88年2月,服務類-醫藥保健,65.6,1.74
63000,88年2月,服務類-教養娛樂,66.08,1.77
63000,88年2月,服務類-教養,82.15,3.1
63000,88年2月,服務類-娛樂,52.58,0.25
63000,88年2月,服務類-雜項,109.47,36.02
63000,88年3月,總指數(含食物),78.74,-0.49
63000,88年3月,商品類(含食物),75.83,-1.9
63000,88年3月,商品類(不含食物),95.96,-1.64
63000,88年3月,商品類-非耐久性消費品(含食物),62.58,-2.3
63000,88年3月,商品類-非耐久性消費品(不含食物),78.73,-2.3
63000,88年3月,商品類-半耐久性消費品,86.77,-0.33
63000,88年3月,商品類-耐久性消費品,146.63,-2.12
