管理機關,土地標示名稱,宗地面積（平方公尺）,持分面積（平方公尺）,列帳金額（元）
財政局,臺北市北投區豐年段二小段0443-0003,8,2.95,89680
財政局,臺北市北投區豐年段二小段0783-0000,1,0.37,64380
財政局,臺北市北投區豐年段四小段0485-0000,64,23.6,2315160
財政局,臺北市北投區豐年段四小段0572-0001,728,268.45,24214190
財政局,臺北市士林區芝山段三小段0350-0000,46,46,15272000
財政局,臺北市松山區美仁段二小段0845-0003,8,8,3320000
財政局,臺北市松山區美仁段二小段0845-0004,44,44,30409016
財政局,臺北市松山區寶清段二小段0061-0000,12,12,6312000
財政局,臺北市松山區寶清段二小段0061-0001,2,2,1052000
財政局,臺北市松山區寶清段二小段0070-0002,13,13,4446000
財政局,臺北市松山區寶清段二小段0074-0001,193,193,66006000
財政局,臺北市松山區寶清段二小段0075-0007,72,72,24624000
財政局,臺北市松山區寶清段二小段0075-0022,17,17,5814000
財政局,臺北市松山區寶清段二小段0075-0027,38,38,17596014
財政局,臺北市松山區寶清段二小段0173-0000,37,37,12654000
財政局,臺北市松山區寶清段二小段0178-0000,5,5,1894000
財政局,臺北市松山區寶清段二小段0209-0003,12,12,6312000
財政局,臺北市松山區寶清段二小段0313-0000,9,9,4707000
財政局,臺北市松山區寶清段四小段0495-0001,2,2,642000
財政局,臺北市松山區延吉段一小段0476-0004,4,3.63,1531860
財政局,臺北市松山區延吉段一小段0516-0000,8,8,3376000
財政局,臺北市松山區延吉段一小段0681-0000,20,20,8440000
財政局,臺北市松山區延吉段三小段0014-0000,5,5,2110000
財政局,臺北市松山區延吉段三小段0041-0000,14,14,5908000
財政局,臺北市松山區延吉段三小段0045-0000,12,12,5064000
財政局,臺北市松山區敦化段二小段0154-0000,27,23.63,9735560
財政局,臺北市松山區濱江段一小段0414-0000,344,344,32438856
財政局,臺北市松山區濱江段一小段0439-0000,41,41,3866259
財政局,臺北市松山區濱江段四小段0245-0001,47,47,4432053
財政局,臺北市松山區濱江段四小段0247-0001,84,84,7921116
財政局,臺北市松山區濱江段四小段0251-0000,42,42,3960558
財政局,臺北市松山區西松段三小段0321-0003,1,1,310000
財政局,臺北市松山區西松段三小段0587-0000,10,10,3100000
財政局,臺北市松山區敦化段四小段0080-0001,4,4,1028000
財政局,臺北市松山區寶清段六小段0064-0000,314,314,121427882
財政局,臺北市松山區寶清段六小段0075-0000,1,1,342000
財政局,臺北市松山區寶清段七小段0018-0000,50,50,17100000
財政局,臺北市松山區寶清段七小段0316-0000,37,37,17022997
財政局,臺北市松山區寶清段七小段0437-0000,81,81,36696969
財政局,臺北市大安區龍泉段一小段0393-0000,42,42,32172000
財政局,臺北市大安區龍泉段一小段0492-0001,16,16,6320000
財政局,臺北市大安區龍泉段一小段0494-0002,0.48,0.48,189600
財政局,臺北市大安區龍泉段一小段0495-0000,1,1,395000
財政局,臺北市大安區龍泉段一小段0864-0000,3,3,1185000
